vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726820,PT1800S,2020-03-14T12:30:00+02:00,"1526743672,1526743673,1526743674,1526743675,1526743676,1526743677,1526743678,1526743679,1526743680,1526743681,1526743682,1526743683,1526743684,1526743701,1526743702,1526743703,1526743704,1526743705,1526743706,1526743707,1526743708,","61,2,1,5,14,45,183,510,907,514,133,85,65,855,1838,1509,1591,1709,1534,1000,2423,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726820,PT1800S,2020-03-14T12:30:00+02:00,"1526743672,1526743673,1526743674,1526743675,1526743676,1526743677,1526743678,1526743679,1526743680,1526743681,1526743682,1526743683,1526743684,1526743701,1526743702,1526743703,1526743704,1526743705,1526743706,1526743707,1526743708,","98,19,18,66,283,848,1635,2119,1539,617,152,55,22,2572,3809,5825,4512,4125,2310,1372,2487,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726820,PT1800S,2020-03-14T12:30:00+02:00,"1526743672,1526743673,1526743674,1526743675,1526743676,1526743677,1526743678,1526743679,1526743680,1526743681,1526743682,1526743683,1526743684,1526743701,1526743702,1526743703,1526743704,1526743705,1526743706,1526743707,1526743708,","79,25,37,65,144,310,485,988,1587,741,118,34,33,775,1773,3606,5153,1885,2248,720,606,"
