vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726700,PT1800S,2020-03-14T12:30:00+02:00,"1526727396,1526727397,1526727398,1526727399,1526727400,1526727401,1526727402,1526727403,1526727404,1526727405,1526727406,1526727407,1526727408,1526727409,1526727410,1526727411,1526729319,1526729320,1526729321,1526729322,1526729323,1526729324,1526729325,1526729326,1526729327,1526729328,1526729329,1526729330,1526729331,1526729332,1526729333,1526729334,1526729335,1526729336,1526729337,1526729338,1526729339,1526729340,1526729341,1526729342,1526729343,1526729344,1526729345,1526729346,1526729347,1526729348,1526729349,1526729350,1526729351,1526729352,1526729353,1526729354,1526729355,1526729356,1526729357,1526729358,1526729359,1526729360,1526729361,1526729362,1526729363,1526729364,1526729365,1526729366,1526729367,1526729368,1526729369,1526729370,1526729371,1526729372,1526729373,1526729374,1526729375,1526729376,1526729377,1526729378,1526729379,1526729380,1526729381,1526729382,1526729383,1526729384,1526729385,1526729386,1526729387,1526729388,1526729389,1526729390,1526729391,1526729392,1526729393,1526729394,1526729395,1526729396,1526729397,1526729398,1526729399,1526729400,1526729401,1526729402,1526729403,1526729404,1526729405,1526729406,1526729407,1526729408,1526729409,1526729410,1526729411,1526729412,1526729413,1526729414,1526730141,1526730142,1526732737,1526732738,1526737710,1526737711,1526739662,1526739663,1526739664,1526739665,1526739666,1526739667,1526739668,1526739669,1526739670,1526739671,1526739672,1526739673,1526739674,1526739675,1526739676,1526739677,1526746770,1526746771,1526746772,1526746773,","9978,9035,11717,23230,41106,101342,260106,251331,242131,245990,261707,330075,319942,236885,244040,222640,3652,3157,3431,4092,5610,12746,81052,55669,71513,72718,76463,94101,82696,60671,40910,47522,27,14,140,40,124,403,2208,2494,4742,5197,5528,7090,4785,1723,1951,1864,3163,2939,4143,9569,17748,44298,89527,97831,85309,86636,92622,117987,118623,88107,101565,87559,17,8,16,25,322,1630,4322,5753,6721,8147,6677,7909,9184,9333,11821,6390,3163,2939,4143,9569,17748,44298,89527,97831,85309,86636,92622,117987,118623,88107,101565,87559,17,8,16,25,322,1630,4322,5753,6721,8147,6677,7909,9184,9333,11821,6390,108899,212711,0,0,0,0,14,45,13,5,7,6,16,86,230,217,147,200,288,325,246,78,0,0,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726700,PT1800S,2020-03-14T12:30:00+02:00,"1526727396,1526727397,1526727398,1526727399,1526727400,1526727401,1526727402,1526727403,1526727404,1526727405,1526727406,1526727407,1526727408,1526727409,1526727410,1526727411,1526729319,1526729320,1526729321,1526729322,1526729323,1526729324,1526729325,1526729326,1526729327,1526729328,1526729329,1526729330,1526729331,1526729332,1526729333,1526729334,1526729335,1526729336,1526729337,1526729338,1526729339,1526729340,1526729341,1526729342,1526729343,1526729344,1526729345,1526729346,1526729347,1526729348,1526729349,1526729350,1526729351,1526729352,1526729353,1526729354,1526729355,1526729356,1526729357,1526729358,1526729359,1526729360,1526729361,1526729362,1526729363,1526729364,1526729365,1526729366,1526729367,1526729368,1526729369,1526729370,1526729371,1526729372,1526729373,1526729374,1526729375,1526729376,1526729377,1526729378,1526729379,1526729380,1526729381,1526729382,1526729383,1526729384,1526729385,1526729386,1526729387,1526729388,1526729389,1526729390,1526729391,1526729392,1526729393,1526729394,1526729395,1526729396,1526729397,1526729398,1526729399,1526729400,1526729401,1526729402,1526729403,1526729404,1526729405,1526729406,1526729407,1526729408,1526729409,1526729410,1526729411,1526729412,1526729413,1526729414,1526730141,1526730142,1526732737,1526732738,1526737710,1526737711,1526739662,1526739663,1526739664,1526739665,1526739666,1526739667,1526739668,1526739669,1526739670,1526739671,1526739672,1526739673,1526739674,1526739675,1526739676,1526739677,1526746770,1526746771,1526746772,1526746773,","13708,11201,11305,13897,37728,92472,185695,269886,320973,375940,322263,284666,231252,131712,114856,132665,4742,3651,3783,4523,8672,17602,53913,82434,127495,111872,78637,78256,71164,37044,36198,64443,177,64,208,70,201,470,2356,5884,10197,10701,7877,11793,11347,6140,3365,2954,4483,3775,3761,4687,14528,37435,65891,93726,96739,132034,121813,103205,80044,47334,39329,34111,22,23,21,37,328,933,5781,11602,14163,19440,15925,14351,11513,6695,5383,3104,4483,3775,3761,4687,14528,37435,65891,93726,96739,132034,121813,103205,80044,47334,39329,34111,22,23,21,37,328,933,5781,11602,14163,19440,15925,14351,11513,6695,5383,3104,174571,244440,0,0,0,0,15,18,24,11,28,305,321,214,235,490,750,887,4017,4528,2475,609,0,0,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726700,PT1800S,2020-03-14T12:30:00+02:00,"1526727396,1526727397,1526727398,1526727399,1526727400,1526727401,1526727402,1526727403,1526727404,1526727405,1526727406,1526727407,1526727408,1526727409,1526727410,1526727411,1526729319,1526729320,1526729321,1526729322,1526729323,1526729324,1526729325,1526729326,1526729327,1526729328,1526729329,1526729330,1526729331,1526729332,1526729333,1526729334,1526729335,1526729336,1526729337,1526729338,1526729339,1526729340,1526729341,1526729342,1526729343,1526729344,1526729345,1526729346,1526729347,1526729348,1526729349,1526729350,1526729351,1526729352,1526729353,1526729354,1526729355,1526729356,1526729357,1526729358,1526729359,1526729360,1526729361,1526729362,1526729363,1526729364,1526729365,1526729366,1526729367,1526729368,1526729369,1526729370,1526729371,1526729372,1526729373,1526729374,1526729375,1526729376,1526729377,1526729378,1526729379,1526729380,1526729381,1526729382,1526729383,1526729384,1526729385,1526729386,1526729387,1526729388,1526729389,1526729390,1526729391,1526729392,1526729393,1526729394,1526729395,1526729396,1526729397,1526729398,1526729399,1526729400,1526729401,1526729402,1526729403,1526729404,1526729405,1526729406,1526729407,1526729408,1526729409,1526729410,1526729411,1526729412,1526729413,1526729414,1526730141,1526730142,1526732737,1526732738,1526737710,1526737711,1526739662,1526739663,1526739664,1526739665,1526739666,1526739667,1526739668,1526739669,1526739670,1526739671,1526739672,1526739673,1526739674,1526739675,1526739676,1526739677,1526746770,1526746771,1526746772,1526746773,","9943,7296,13221,22572,25641,87885,281137,429755,366118,362205,337366,186205,195378,88440,33900,37767,7025,4508,10507,19110,13947,19743,68857,54911,107568,133579,152272,119601,128842,67264,24406,24761,454,200,820,1221,764,996,1845,2333,5019,7655,7985,6951,6211,2865,2076,2042,1459,1394,1357,1731,5847,34071,106140,187422,129275,114313,92547,33302,33268,10588,4747,6503,6,5,13,43,425,1410,2910,6401,6062,7627,3809,3122,2025,929,315,232,1459,1394,1357,1731,5847,34071,106140,187422,129275,114313,92547,33302,33268,10588,4747,6503,6,5,13,43,425,1410,2910,6401,6062,7627,3809,3122,2025,929,315,232,124852,118328,0,0,0,0,58,25,43,145,850,2384,5541,9664,12769,9207,45468,9189,44267,1257,1021,551,0,0,0,0,"
