vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726804,PT1800S,2020-03-14T12:30:00+02:00,"1526736765,1526736766,1526736767,1526736768,1526736769,1526736770,1526736771,1526736772,1526736773,1526736774,1526736775,1526736776,1526736777,1526736778,1526736779,1526736780,1526742045,1526742046,1526742047,1526742048,1526742049,1526742050,1526742051,1526742052,1526742053,1526742054,1526742055,1526742056,1526742057,1526742058,1526742059,1526742074,1526742075,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,879,0,63600,0,5321777,0,759800,0,220600,0,52391674,459,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726804,PT1800S,2020-03-14T12:30:00+02:00,"1526736765,1526736766,1526736767,1526736768,1526736769,1526736770,1526736771,1526736772,1526736773,1526736774,1526736775,1526736776,1526736777,1526736778,1526736779,1526736780,1526742045,1526742046,1526742047,1526742048,1526742049,1526742050,1526742051,1526742052,1526742053,1526742054,1526742055,1526742056,1526742057,1526742058,1526742059,1526742074,1526742075,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,384,1458,6500,147200,4524359,27067123,530200,926400,326600,273000,243306683,77743253,704,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726804,PT1800S,2020-03-14T12:30:00+02:00,"1526736765,1526736766,1526736767,1526736768,1526736769,1526736770,1526736771,1526736772,1526736773,1526736774,1526736775,1526736776,1526736777,1526736778,1526736779,1526736780,1526742045,1526742046,1526742047,1526742048,1526742049,1526742050,1526742051,1526742052,1526742053,1526742054,1526742055,1526742056,1526742057,1526742058,1526742059,1526742074,1526742075,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,117,276,1000,40600,84898,4239348,43700,316200,3000,61800,163481,19663107,74,0,0,"
