vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726818,PT1800S,2020-03-14T12:30:00+02:00,"1526741893,1526741894,1526741895,1526741896,1526745971,1526745972,1526745973,","220,0,0,1,77,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726818,PT1800S,2020-03-14T12:30:00+02:00,"1526741893,1526741894,1526741895,1526741896,1526745971,1526745972,1526745973,","207,2,2,7,107,0,3,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726818,PT1800S,2020-03-14T12:30:00+02:00,"1526741893,1526741894,1526741895,1526741896,1526745971,1526745972,1526745973,","267,2,6,7,124,0,0,"
