vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726685,PT1800S,2020-03-14T12:30:00+02:00,"1526727089,1526727092,1526727093,1526727094,1526728270,1526728271,1526730857,1526739728,1526741808,1526741809,1526741810,","0,0,0,0,1,1,0,0,1,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726685,PT1800S,2020-03-14T12:30:00+02:00,"1526727089,1526727092,1526727093,1526727094,1526728270,1526728271,1526730857,1526739728,1526741808,1526741809,1526741810,","0,0,0,0,2,2,0,0,2,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726685,PT1800S,2020-03-14T12:30:00+02:00,"1526727089,1526727092,1526727093,1526727094,1526728270,1526728271,1526730857,1526739728,1526741808,1526741809,1526741810,","0,0,0,0,6,6,0,0,6,0,0,"
