vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726657,PT1800S,2020-03-14T12:30:00+02:00,"1526726657,1526726658,1526726659,1526728216,1526728217,1526728218,1526728219,1526728220,1526728221,1526728222,1526728223,1526728224,1526728225,1526728226,1526728357,1526728358,1526728438,1526728439,1526728774,1526728775,1526729656,1526730530,1526730531,1526730532,1526730533,1526730534,1526730535,1526730846,1526745656,1526745657,1526745658,","1681,1680,1680,1680,0,0,763,129,786,0,0,763,129,786,0,0,2,2,22,129,2,0,0,763,129,787,0,6,2,2,2,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726657,PT1800S,2020-03-14T12:30:00+02:00,"1526726657,1526726658,1526726659,1526728216,1526728217,1526728218,1526728219,1526728220,1526728221,1526728222,1526728223,1526728224,1526728225,1526728226,1526728357,1526728358,1526728438,1526728439,1526728774,1526728775,1526729656,1526730530,1526730531,1526730532,1526730533,1526730534,1526730535,1526730846,1526745656,1526745657,1526745658,","2579,2577,2576,2577,0,0,1060,239,1276,0,0,1060,238,1276,0,0,7,0,21,307,0,0,0,1061,239,1277,0,8,2,2,2,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726657,PT1800S,2020-03-14T12:30:00+02:00,"1526726657,1526726658,1526726659,1526728216,1526728217,1526728218,1526728219,1526728220,1526728221,1526728222,1526728223,1526728224,1526728225,1526728226,1526728357,1526728358,1526728438,1526728439,1526728774,1526728775,1526729656,1526730530,1526730531,1526730532,1526730533,1526730534,1526730535,1526730846,1526745656,1526745657,1526745658,","856,854,852,854,0,0,384,39,431,0,0,383,38,431,0,0,1,1,22,697,1,0,0,385,39,432,0,4,0,0,0,"
