vendorName,fileFormatVersion,input_file_name,elementType,beginTime,endTime,duration,userLabel,measInfoId,duration,endTime,measTypes,measResults_row_values
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726662,PT1800S,2020-03-14T12:30:00+02:00,"1526726760,1526726761,1526726762,1526726763,1526726764,1526727209,1526727210,1526728320,1526728411,1526728412,1526728413,1526728414,1526728415,1526728416,1526728417,1526728418,1526728419,1526728420,1526728443,1526728444,1526728465,1526728466,1526728493,1526728494,1526728495,1526728537,1526728538,1526728547,1526728548,1526728549,1526728550,1526728551,1526728552,1526728562,1526728563,1526728911,1526728912,1526729280,1526729291,1526729471,1526729472,1526729473,1526729474,1526729499,1526729500,1526729501,1526729502,1526729571,1526729572,1526729659,1526729660,1526729877,1526729878,1526730104,1526730105,1526730106,1526730107,1526730108,1526730109,1526730110,1526730111,1526730112,1526730236,1526730237,1526730526,1526730527,1526730528,1526730529,1526730558,1526730559,1526732089,1526732687,1526732688,1526732689,1526732690,1526732691,1526732692,1526732693,1526732694,1526732695,1526732696,1526732719,1526732720,1526732890,1526732891,1526732892,1526732893,1526732913,1526732914,1526732918,1526732919,1526733010,1526733011,1526733199,1526735577,1526736656,1526736657,1526736658,1526736659,1526736866,1526736869,1526736870,1526736889,1526736890,1526736891,1526736892,1526736893,1526736894,1526737744,1526737821,1526737853,1526737856,1526737857,1526739725,1526739752,1526739788,1526739807,1526739808,1526740480,1526740481,1526740482,1526740483,1526740486,1526740487,1526741631,1526741669,1526741670,1526741671,1526741672,1526741673,1526741674,1526741675,1526741676,1526741677,1526741678,1526741679,1526741680,1526741681,1526741682,1526741683,1526741684,1526741728,1526741772,1526741773,1526741774,1526741775,1526741776,1526741777,1526741778,1526741779,1526741841,1526741842,1526742133,1526742134,1526742135,1526742136,1526742137,1526742138,1526742154,1526742155,1526742169,1526743656,1526743657,1526743747,1526745652,1526745653,1526745654,1526745655,1526745660,1526745956,1526745978,1526745979,1526745991,1526745992,1526746000,1526746001,1526746700,1526746701,1526746702,1526746703,1526746704,1526746705,1526746986,1526746987,1526747693,1526747694,1526747695,1526747696,1526747697,1526747698,1526747699,1526747700,1526747701,1526747702,1526747703,1526747704,1526747705,1526747706,1526747707,1526747708,1526747709,1526747710,1526747835,","0,0,0,0,0,0,0,1800,0,34,0,0,0,0,28,0,0,0,0,0,39846,2593,0,0,0,0,0,1985,608,9281703,22415789,332597,81506,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12394,4500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1722,0,0,0,0,0,0,0,0,470359,489324,813754,0,2151192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,21,0,0,0,10398,8144,12884,10486,10920,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726662,PT1800S,2020-03-14T12:30:00+02:00,"1526726760,1526726761,1526726762,1526726763,1526726764,1526727209,1526727210,1526728320,1526728411,1526728412,1526728413,1526728414,1526728415,1526728416,1526728417,1526728418,1526728419,1526728420,1526728443,1526728444,1526728465,1526728466,1526728493,1526728494,1526728495,1526728537,1526728538,1526728547,1526728548,1526728549,1526728550,1526728551,1526728552,1526728562,1526728563,1526728911,1526728912,1526729280,1526729291,1526729471,1526729472,1526729473,1526729474,1526729499,1526729500,1526729501,1526729502,1526729571,1526729572,1526729659,1526729660,1526729877,1526729878,1526730104,1526730105,1526730106,1526730107,1526730108,1526730109,1526730110,1526730111,1526730112,1526730236,1526730237,1526730526,1526730527,1526730528,1526730529,1526730558,1526730559,1526732089,1526732687,1526732688,1526732689,1526732690,1526732691,1526732692,1526732693,1526732694,1526732695,1526732696,1526732719,1526732720,1526732890,1526732891,1526732892,1526732893,1526732913,1526732914,1526732918,1526732919,1526733010,1526733011,1526733199,1526735577,1526736656,1526736657,1526736658,1526736659,1526736866,1526736869,1526736870,1526736889,1526736890,1526736891,1526736892,1526736893,1526736894,1526737744,1526737821,1526737853,1526737856,1526737857,1526739725,1526739752,1526739788,1526739807,1526739808,1526740480,1526740481,1526740482,1526740483,1526740486,1526740487,1526741631,1526741669,1526741670,1526741671,1526741672,1526741673,1526741674,1526741675,1526741676,1526741677,1526741678,1526741679,1526741680,1526741681,1526741682,1526741683,1526741684,1526741728,1526741772,1526741773,1526741774,1526741775,1526741776,1526741777,1526741778,1526741779,1526741841,1526741842,1526742133,1526742134,1526742135,1526742136,1526742137,1526742138,1526742154,1526742155,1526742169,1526743656,1526743657,1526743747,1526745652,1526745653,1526745654,1526745655,1526745660,1526745956,1526745978,1526745979,1526745991,1526745992,1526746000,1526746001,1526746700,1526746701,1526746702,1526746703,1526746704,1526746705,1526746986,1526746987,1526747693,1526747694,1526747695,1526747696,1526747697,1526747698,1526747699,1526747700,1526747701,1526747702,1526747703,1526747704,1526747705,1526747706,1526747707,1526747708,1526747709,1526747710,1526747835,","0,0,0,0,0,0,0,1800,13,296,10,0,0,53,373,0,0,0,0,0,59043,3267,0,0,0,0,0,2779,488,17050216,37742472,1362962,492978,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19367,3396,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,193,0,0,0,53,210,0,0,0,0,0,15,1,15,0,0,0,0,0,0,0,3165,0,0,0,0,0,0,0,0,1214282,1447508,1127938,0,2155488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,356,24,0,0,46,214,3,0,0,154146,101772,117072,157102,80518,103638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,4,2,21,20,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"
Huawei,32.435 V7.2,A20200314.1200+0200-1230+0200_MBTS_06330_VO_BBU0_IERAPETRA_NORTH.xml,BTS3900,2020-03-14T12:00:00+02:00,2020-03-14T12:30:00+02:00,PT1800S,MBTS_06330_VO_BBU0_IERAPETRA_NORTH,1526726662,PT1800S,2020-03-14T12:30:00+02:00,"1526726760,1526726761,1526726762,1526726763,1526726764,1526727209,1526727210,1526728320,1526728411,1526728412,1526728413,1526728414,1526728415,1526728416,1526728417,1526728418,1526728419,1526728420,1526728443,1526728444,1526728465,1526728466,1526728493,1526728494,1526728495,1526728537,1526728538,1526728547,1526728548,1526728549,1526728550,1526728551,1526728552,1526728562,1526728563,1526728911,1526728912,1526729280,1526729291,1526729471,1526729472,1526729473,1526729474,1526729499,1526729500,1526729501,1526729502,1526729571,1526729572,1526729659,1526729660,1526729877,1526729878,1526730104,1526730105,1526730106,1526730107,1526730108,1526730109,1526730110,1526730111,1526730112,1526730236,1526730237,1526730526,1526730527,1526730528,1526730529,1526730558,1526730559,1526732089,1526732687,1526732688,1526732689,1526732690,1526732691,1526732692,1526732693,1526732694,1526732695,1526732696,1526732719,1526732720,1526732890,1526732891,1526732892,1526732893,1526732913,1526732914,1526732918,1526732919,1526733010,1526733011,1526733199,1526735577,1526736656,1526736657,1526736658,1526736659,1526736866,1526736869,1526736870,1526736889,1526736890,1526736891,1526736892,1526736893,1526736894,1526737744,1526737821,1526737853,1526737856,1526737857,1526739725,1526739752,1526739788,1526739807,1526739808,1526740480,1526740481,1526740482,1526740483,1526740486,1526740487,1526741631,1526741669,1526741670,1526741671,1526741672,1526741673,1526741674,1526741675,1526741676,1526741677,1526741678,1526741679,1526741680,1526741681,1526741682,1526741683,1526741684,1526741728,1526741772,1526741773,1526741774,1526741775,1526741776,1526741777,1526741778,1526741779,1526741841,1526741842,1526742133,1526742134,1526742135,1526742136,1526742137,1526742138,1526742154,1526742155,1526742169,1526743656,1526743657,1526743747,1526745652,1526745653,1526745654,1526745655,1526745660,1526745956,1526745978,1526745979,1526745991,1526745992,1526746000,1526746001,1526746700,1526746701,1526746702,1526746703,1526746704,1526746705,1526746986,1526746987,1526747693,1526747694,1526747695,1526747696,1526747697,1526747698,1526747699,1526747700,1526747701,1526747702,1526747703,1526747704,1526747705,1526747706,1526747707,1526747708,1526747709,1526747710,1526747835,","0,0,0,0,0,0,0,1800,2,88,1,0,0,2,121,0,0,0,0,0,27332,1999,0,0,0,0,0,1382,617,9556198,14444773,367796,77214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6766,4527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,2,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,716148,953240,719788,0,2155488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,116,5,0,0,2,10,0,0,0,40844,4688,30409,41136,3558,4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,5,0,20,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"
